	University	Established	Status
104	ISTANBUL SABAHATTIN ZAIM UNIVERSITY	2010	FOUNDATION
105	ISTANBUL VOCATIONAL SCHOOL OF HEALTH AND SOCIAL SCIENCES	2010	FOUNDATION VS
106	ISTANBUL HEALTH AND TECHNOLOGY UNIVERSITY	2018	FOUNDATION
107	ISTANBUL SISLI VOCATIONAL SCHOOL	2012	FOUNDATION VS
108	ISTANBUL TECHNICAL UNIVERSITY	1944	STATE
109	ISTANBUL COMMERCE UNIVERSITY	2001	FOUNDATION
110	ISTANBUL TOPKAPI UNIVERSITY	2016	FOUNDATION
111	ISTANBUL UNIVERSITY	1933	STATE
112	ISTANBUL UNIVERSITY-CERRAHPASA	2018	STATE
113	ISTANBUL YENI YUZYIL UNIVERSITY	2009	FOUNDATION
114	ISTANBUL 29 MAYIS UNIVERSITY	2010	FOUNDATION
115	ISTINYE UNIVERSITY	2015	FOUNDATION
116	IZMIR BAKIRCAY UNIVERSITY	2016	STATE
117	IZMIR DEMOCRACY UNIVERSITY	2016	STATE
118	IZMIR UNIVERSITY OF ECONOMICS	2001	FOUNDATION
119	IZMIR KATIP CELEBI UNIVERSITY	2010	STATE
120	IZMIR KAVRAM VOCATIONAL COLLEGE OF HIGHER EDUCATION	2008	FOUNDATION VS
121	IZMIR TINAZTEPE UNIVERSITY	2018	FOUNDATION
122	IZMIR INSTITUTE OF TECHNOLOGY	1992	STATE
123	KADIR HAS UNIVERSITY	1997	FOUNDATION
124	KAFKAS UNIVERSITY	1992	STATE
125	KAHRAMANMARAS ISTIKLAL UNIVERSITY	2018	STATE
126	KAHRAMANMARAS SUTCU IMAM UNIVERSITY	1992	STATE
127	CAPPADOCIA UNIVERSITY	2005	FOUNDATION
128	KARABUK UNIVERSITY	2007	STATE
129	KARADENIZ TECHNICAL UNIVERSITY	1955	STATE
130	KARAMANOGLU MEHMETBEY UNIVERSITY	2007	STATE
131	KASTAMONU UNIVERSITY	2006	STATE
132	KAYSERI UNIVERSITY	2018	STATE
133	KIRIKKALE UNIVERSITY	1992	STATE
134	KIRKLARELI UNIVERSITY	2007	STATE
135	KIRSEHIR AHI EVRAN UNIVERSITY	2006	STATE
136	KILIS 7 ARALIK UNIVERSITY	2007	STATE
137	KOCAELI HEALTH AND TECHNOLOGY UNIVERSITY	2020	FOUNDATION
138	KOCAELI UNIVERSITY	1992	STATE
139	KOC UNIVERSITY	1992	FOUNDATION
140	KONYA FOOD AND AGRICULTURE UNIVERSITY	2013	FOUNDATION
141	KONYA TECHNICAL UNIVERSITY	2018	STATE
142	KTO KARATAY UNIVERSITY	2009	FOUNDATION
143	KUTAHYA DUMLUPINAR UNIVERSITY	1992	STATE
144	KUTAHYA HEALTH SCIENCES UNIVERSITY	2018	STATE
145	LOKMAN HEKIM UNIVERSITY	2017	FOUNDATION
146	MALATYA TURGUT OZAL UNIVERSITY	2018	STATE
147	MALTEPE UNIVERSITY	1997	FOUNDATION
148	MANISA CELAL BAYAR UNIVERSITY	1992	STATE
149	MARDIN ARTUKLU UNIVERSITY	2007	STATE
150	MARMARA UNIVERSITY	1982	STATE
151	MEF UNIVERSITY	2012	FOUNDATION
152	MERSIN UNIVERSITY	1992	STATE
153	MIMAR SINAN FINE ARTS UNIVERSITY	1982	STATE
154	MUDANYA UNIVERSITY	2022	FOUNDATION
155	MUGLA SITKI KOCMAN UNIVERSITY	1992	STATE
156	MUNZUR UNIVERSITY	2008	STATE
157	MUS ALPARSLAN UNIVERSITY	2007	STATE
158	NECMETTIN ERBAKAN UNIVERSITY	2012	STATE
159	NEVSEHIR HACI BEKTAS VELI UNIVERSITY	2007	STATE
160	NIGDE OMER HALISDEMIR UNIVERSITY	1992	STATE
161	NISANTASI UNIVERSITY	2009	FOUNDATION
162	NUH NACI YAZGAN UNIVERSITY	2009	FOUNDATION
163	ONDOKUZ MAYIS UNIVERSITY	1975	STATE
164	ORDU UNIVERSITY	2006	STATE
165	MIDDLE EAST TECHNICAL UNIVERSITY	1956	STATE
166	OSMANIYE KORKUT ATA UNIVERSITY	2007	STATE
167	OSTIM TECHNICAL UNIVERSITY	2017	FOUNDATION
168	OZYEGIN UNIVERSITY	2007	FOUNDATION
169	PAMUKKALE UNIVERSITY	1992	STATE
170	PIRI REIS UNIVERSITY	2008	FOUNDATION
171	RECEP TAYYIP ERDOGAN UNIVERSITY	2006	STATE
172	SABANCI UNIVERSITY	1996	FOUNDATION
173	UNIVERSITY OF HEALTH SCIENCES	2015	STATE
174	SAKARYA UNIVERSITY OF APPLIED SCIENCES	2018	STATE
175	SAKARYA UNIVERSITY	1992	STATE
176	SAMSUN UNIVERSITY	2018	STATE
177	SANKO UNIVERSITY	2013	FOUNDATION
178	SELCUK UNIVERSITY	1975	STATE
179	SIIRT UNIVERSITY	2007	STATE
180	SINOP UNIVERSITY	2007	STATE
181	SİVAS UNIVERSITY OF SCIENCE AND TECHNOLOGY	2018	STATE
182	SIVAS CUMHURIYET UNIVERSITY	1974	STATE
183	SULEYMAN DEMIREL UNIVERSITY	1992	STATE
184	SIRNAK UNIVERSITY	2008	STATE
185	TARSUS UNIVERSITY	2018	STATE
186	TED UNIVERSITY	2009	FOUNDATION
187	TEKIRDAG NAMIK KEMAL UNIVERSITY	2006	STATE
188	TOBB UNIVERSITY OF ECONOMICS AND TECHNOLOGY	2003	FOUNDATION
189	TOKAT GAZIOSMANPASA UNIVERSITY	1992	STATE
190	TOROS UNIVERSITY	2009	FOUNDATION
191	TRABZON UNIVERSITY	2018	STATE
192	TRAKYA UNIVERSITY	1982	STATE
193	UNIVERSITY OF TURKISH AERONAUTICAL ASSOCIATION	2011	FOUNDATION
194	TURKISH - GERMAN UNIVERSITY	2010	STATE
195	TURKEY INTERNATIONAL ISLAM, SCIENCE AND TECHNOLOGY UNIVERSITY	2015	STATE
196	TURKISH-JAPANESE SCIENCE AND TECHNOLOGY UNIVERSITY	2017	STATE
197	UFUK UNIVERSITY	1999	FOUNDATION
198	USAK UNIVERSITY	2006	STATE
199	USKUDAR UNIVERSITY	2011	FOUNDATION
200	VAN YUZUNCU YIL UNIVERSITY	1982	STATE
201	YALOVA UNIVERSITY	2008	STATE
202	YASAR UNIVERSITY	2001	FOUNDATION
203	YEDITEPE UNIVERSITY	1996	FOUNDATION
204	YILDIZ TECHNICAL UNIVERSITY	1982	STATE
205	YOZGAT BOZOK UNIVERSITY	2006	STATE
206	YUKSEK IHTISAS UNIVERSITY	2013	FOUNDATION
207	ZONGULDAK BULENT ECEVIT UNIVERSITY	1992	STATE
