University,City,Status,Established,Rector
DICLE UNIVERSITY,DİYARBAKIR,STATE,1973,PROF.DR. MEHMET KARAKOÇ
DOGUS UNIVERSITY,İSTANBUL,FOUNDATION,1997,PROF.DR. TURGUT ÖZKAN
DOKUZ EYLUL UNIVERSITY,İZMİR,STATE,1982,PROF.DR. FATMA SENİHA NÜKHET HOTAR
DUZCE UNIVERSITY,DÜZCE,STATE,2006,PROF.DR. NEDİM SÖZBİR
EGE UNIVERSITY,İZMİR,STATE,1955,
ERCIYES UNIVERSITY,KAYSERİ,STATE,1982,PROF.DR. MUSTAFA ÇALIŞ
ERZINCAN BINALI YILDIRIM UNIVERSITY,ERZİNCAN,STATE,2006,PROF.DR. AKIN LEVENT
ERZURUM TECHNICAL UNIVERSITY,ERZURUM,STATE,2010,PROF.DR. BÜLENT ÇAKMAK
ESKISEHIR OSMANGAZI UNIVERSITY,ESKİŞEHİR,STATE,1993,PROF.DR. KAMİL ÇOLAK
ESKISEHIR TECHNICAL UNIVERSITY,ESKİŞEHİR,STATE,2018,PROF.DR. TUNCAY DÖĞEROĞLU
FATIH SULTAN MEHMET VAKIF UNIVERSITY,İSTANBUL,FOUNDATION,2010,
FENERBAHCE UNIVERSITY,İSTANBUL,FOUNDATION,2016,PROF.DR. MEHMET EMİN ARAT
FIRAT UNIVERSITY,ELAZIĞ,STATE,1975,PROF.DR. FAHRETTİN GÖKTAŞ
GALATASARAY UNIVERSITY,İSTANBUL,STATE,1994,PROF.DR. EYÜP ERTUĞRUL KARSAK
GAZI UNIVERSITY,ANKARA,STATE,1982,PROF.DR. MUSA YILDIZ
GAZIANTEP ISLAM SCIENCE AND TECHNOLOGY UNIVERSITY,GAZİANTEP,STATE,2018,PROF.DR. MEHMET NİHAT HATİPOĞLU
GAZIANTEP UNIVERSITY,GAZİANTEP,STATE,1987,PROF.DR. ARİF ÖZAYDIN
GEBZE TECHNICAL UNIVERSITY,KOCAELİ,STATE,1992,PROF.DR. HACI ALİ MANTAR
GIRESUN UNIVERSITY,GİRESUN,STATE,2006,PROF.DR. YILMAZ CAN
GUMUSHANE UNIVERSITY,GÜMÜŞHANE,STATE,2008,PROF.DR. HALİL İBRAHİM ZEYBEK
HACETTEPE UNIVERSITY,ANKARA,STATE,1967,PROF.DR. MEHMET CAHİT GÜRAN
HAKKARI UNIVERSITY,HAKKARİ,STATE,2008,PROF.DR. ÖMER PAKİŞ
HALIC UNIVERSITY,İSTANBUL,FOUNDATION,1998,PROF.DR. ZAFER UTLU
HARRAN UNIVERSITY,ŞANLIURFA,STATE,1992,PROF.DR. MEHMET SABRİ ÇELİK
HASAN KALYONCU UNIVERSITY,GAZİANTEP,FOUNDATION,2008,PROF.DR. TÜRKAY DERELİ
HATAY MUSTAFA KEMAL UNIVERSITY,HATAY,STATE,1992,PROF.DR. HASAN KAYA
HITIT UNIVERSITY,ÇORUM,STATE,2006,PROF.DR. ALİ OSMAN ÖZTÜRK
IGDIR UNIVERSITY,IĞDIR,STATE,2008,PROF.DR. MEHMET HAKKI ALMA
ISPARTA UNIVERSITY OF APPLIED SCIENCES,ISPARTA,STATE,2018,PROF.DR. İBRAHİM DİLER
ISIK UNIVERSITY,İSTANBUL,FOUNDATION,1996,PROF.DR. HASAN BÜLENT KAHRAMAN
IBN HALDUN UNIVERSITY,İSTANBUL,FOUNDATION,2015,PROF.DR. ATİLLA ARKAN
IHSAN DOGRAMACI BILKENT UNIVERSITY,ANKARA,FOUNDATION,1985,PROF.DR. ABDURRAHMAN KÜRŞAT AYDOĞAN
INONU UNIVERSITY,MALATYA,STATE,1975,PROF.DR. AHMET KIZILAY
ISKENDERUN TECHNICAL UNIVERSITY,HATAY,STATE,2015,PROF.DR. TOLGA DEPCİ
ISTANBUL AREL UNIVERSITY,İSTANBUL,FOUNDATION,2007,PROF.DR. AHMET ERCAN GEGEZ
ISTANBUL ATLAS UNIVERSITY,İSTANBUL,FOUNDATION,2018,PROF.DR. MUSTAFA KÜÇÜK
ISTANBUL AYDIN UNIVERSITY,İSTANBUL,FOUNDATION,2007,PROF.DR. YADİGAR İZMİRLİ
ISTANBUL BILGI UNIVERSITY,İSTANBUL,FOUNDATION,1996,
ISTANBUL ESENYURT UNIVERSITY,İSTANBUL,FOUNDATION,2013,PROF.DR. HAYRETTİN AKKAYA
ISTANBUL GALATA UNIVERSITY,İSTANBUL,FOUNDATION,2019,PROF.DR. ÖZGÜR ÇENGEL
ISTANBUL GEDIK UNIVERSITY,İSTANBUL,FOUNDATION,2011,PROF.DR. NİHAT AKKUŞ
ISTANBUL GELISIM UNIVERSITY,İSTANBUL,FOUNDATION,2011,PROF.DR. BAHRİ ŞAHİN
ISTANBUL KENT UNIVERSITY,İSTANBUL,FOUNDATION,2016,PROF.DR. MEHMET NECMETTİN ATSÜ
ISTANBUL KULTUR UNIVERSITY,İSTANBUL,FOUNDATION,1997,PROF.DR. HANİFE ÖZTÜRK AKKARTAL
ISTANBUL MEDENIYET UNIVERSITY,İSTANBUL,STATE,2010,PROF.DR. GÜLFETTİN ÇELİK
ISTANBUL MEDIPOL UNIVERSITY,İSTANBUL,FOUNDATION,2009,PROF.DR. ÖMER CERAN
ISTANBUL OKAN UNIVERSITY,İSTANBUL,FOUNDATION,1999,PROF.DR. MUSTAFA KOÇAK
ISTANBUL RUMELI UNIVERSITY,İSTANBUL,FOUNDATION,2015,PROF.DR. HAZİM TAMER DODURKA
ISTANBUL SABAHATTIN ZAIM UNIVERSITY,İSTANBUL,FOUNDATION,2010,PROF.DR. AHMET CEVAT ACAR
ISTANBUL VOCATIONAL SCHOOL OF HEALTH AND SOCIAL SCIENCES,İSTANBUL,FOUNDATION VS,2010,
